time,open,high,low,close,vol
2021-04-12 00:00:00,0.76203,0.7622,0.76172,0.76212,26
2021-04-12 00:30:00,0.76212,0.76232,0.76101,0.76163,117
2021-04-12 01:00:00,0.76167,0.76211,0.76167,0.76196,314
2021-04-12 01:30:00,0.76195,0.76235,0.76185,0.76218,347
2021-04-12 02:00:00,0.76216,0.76257,0.76199,0.76242,448
2021-04-12 02:30:00,0.7624,0.7628,0.76215,0.76215,398
2021-04-12 03:00:00,0.76217,0.76233,0.76133,0.76155,607
2021-04-12 03:30:00,0.76155,0.76221,0.76149,0.76165,477
2021-04-12 04:00:00,0.76165,0.76165,0.76052,0.76064,750
2021-04-12 04:30:00,0.76064,0.76088,0.75994,0.76026,996
2021-04-12 05:00:00,0.76025,0.76031,0.75947,0.75969,801
2021-04-12 05:30:00,0.75969,0.7604,0.75969,0.7604,477
2021-04-12 06:00:00,0.76038,0.76069,0.76017,0.76064,525
2021-04-12 06:30:00,0.76063,0.76092,0.76046,0.76091,506
2021-04-12 07:00:00,0.76092,0.76094,0.7605,0.7607,363
2021-04-12 07:30:00,0.76068,0.76076,0.7603,0.76038,402
2021-04-12 08:00:00,0.76036,0.76036,0.75971,0.75981,472
2021-04-12 08:30:00,0.7598,0.76057,0.75973,0.76037,513
2021-04-12 09:00:00,0.76037,0.7613,0.76021,0.76088,653
2021-04-12 09:30:00,0.76088,0.76146,0.76081,0.76105,658
2021-04-12 10:00:00,0.76104,0.76187,0.76077,0.76085,979
2021-04-12 10:30:00,0.76086,0.76185,0.76082,0.76133,767
2021-04-12 11:00:00,0.76135,0.76167,0.76107,0.76123,798
2021-04-12 11:30:00,0.76126,0.76206,0.76118,0.76167,598
2021-04-12 12:00:00,0.76167,0.76292,0.76167,0.76291,633
2021-04-12 12:30:00,0.76291,0.76335,0.76281,0.76302,701
2021-04-12 13:00:00,0.76304,0.76321,0.76261,0.76289,535
2021-04-12 13:30:00,0.76291,0.76354,0.76257,0.7628,698
2021-04-12 14:00:00,0.7628,0.7635,0.76256,0.76341,561
2021-04-12 14:30:00,0.76341,0.76352,0.76282,0.76287,562
2021-04-12 15:00:00,0.7629,0.76297,0.76235,0.7627,754
2021-04-12 15:30:00,0.7627,0.76331,0.76255,0.76312,630
2021-04-12 16:00:00,0.76314,0.76357,0.76246,0.76247,761
2021-04-12 16:30:00,0.7625,0.76296,0.76189,0.7621,1161
2021-04-12 17:00:00,0.76208,0.76263,0.76191,0.76199,790
2021-04-12 17:30:00,0.76207,0.76227,0.7612,0.76212,982
2021-04-12 18:00:00,0.76212,0.76246,0.76181,0.76238,814
2021-04-12 18:30:00,0.76238,0.76242,0.76171,0.76191,759
2021-04-12 19:00:00,0.76192,0.76247,0.76182,0.76243,623
2021-04-12 19:30:00,0.76243,0.7627,0.76242,0.76259,457
2021-04-12 20:00:00,0.76259,0.76266,0.76236,0.76256,428
2021-04-12 20:30:00,0.76255,0.76257,0.76197,0.76205,422
2021-04-12 21:00:00,0.76204,0.76215,0.76156,0.76168,394
2021-04-12 21:30:00,0.76169,0.76187,0.76143,0.76158,398
2021-04-12 22:00:00,0.76159,0.76168,0.76115,0.76151,441
2021-04-12 22:30:00,0.7615,0.76196,0.76145,0.76195,381
2021-04-12 23:00:00,0.76197,0.76237,0.76197,0.76221,263
2021-04-12 23:30:00,0.76221,0.7624,0.76216,0.76224,216
2021-04-13 00:00:00,0.76232,0.76263,0.76225,0.76239,93
2021-04-13 00:30:00,0.76243,0.76259,0.76191,0.76213,151
2021-04-13 01:00:00,0.76213,0.7625,0.76209,0.76249,376
2021-04-13 01:30:00,0.76249,0.76249,0.76224,0.76236,199
2021-04-13 02:00:00,0.76244,0.76254,0.76226,0.76243,221
2021-04-13 02:30:00,0.76245,0.76304,0.7624,0.76271,265
2021-04-13 03:00:00,0.76271,0.76274,0.76133,0.76165,685
2021-04-13 03:30:00,0.76166,0.76186,0.76106,0.76117,543
2021-04-13 04:00:00,0.76117,0.76122,0.7604,0.76094,684
2021-04-13 04:30:00,0.76094,0.76149,0.7609,0.76111,672
2021-04-13 05:00:00,0.7611,0.76157,0.76107,0.76144,616
2021-04-13 05:30:00,0.76144,0.76149,0.76066,0.76104,728
2021-04-13 06:00:00,0.76103,0.76117,0.76019,0.76028,519
2021-04-13 06:30:00,0.76026,0.76059,0.75994,0.75994,464
2021-04-13 07:00:00,0.75994,0.76043,0.75983,0.76019,483
2021-04-13 07:30:00,0.76015,0.76017,0.75964,0.75989,381
2021-04-13 08:00:00,0.75989,0.75989,0.7595,0.75984,422
2021-04-13 08:30:00,0.75984,0.76042,0.75958,0.76041,521
2021-04-13 09:00:00,0.7604,0.76138,0.75979,0.76094,723
2021-04-13 09:30:00,0.76093,0.76103,0.76006,0.76034,677
2021-04-13 10:00:00,0.76035,0.761,0.76023,0.76095,776
