time,open,high,low,close,vol
2014-04-14 00:00:00,0.8685,0.86931,0.86719,0.86729,6863
2014-04-14 04:00:00,0.86728,0.86867,0.86664,0.86664,6498
2014-04-14 08:00:00,0.86664,0.86674,0.86303,0.86507,9439
2014-04-14 12:00:00,0.86508,0.86714,0.86459,0.86625,9005
2014-04-14 16:00:00,0.8662,0.86791,0.8662,0.86742,7811
2014-04-14 20:00:00,0.8674,0.86944,0.8668,0.86811,5635
2014-04-15 00:00:00,0.86807,0.86911,0.86641,0.86736,8299
2014-04-15 04:00:00,0.86735,0.86735,0.86471,0.86552,6669
2014-04-15 08:00:00,0.86553,0.86558,0.86333,0.86526,8985
2014-04-15 12:00:00,0.86526,0.86647,0.86254,0.86401,10115
2014-04-15 16:00:00,0.86411,0.86467,0.86258,0.86392,12794
2014-04-15 20:00:00,0.86392,0.86478,0.86374,0.8647,5555
2014-04-16 00:00:00,0.86472,0.86482,0.85786,0.85961,11835
2014-04-16 04:00:00,0.8596,0.86003,0.85782,0.85927,9549
2014-04-16 08:00:00,0.85935,0.86104,0.85804,0.85987,10406
2014-04-16 12:00:00,0.85987,0.86069,0.85899,0.85915,8523
2014-04-16 16:00:00,0.8592,0.86222,0.85871,0.86207,11728
2014-04-16 20:00:00,0.86208,0.86364,0.86151,0.86271,5960
2014-04-17 00:00:00,0.86276,0.86478,0.86199,0.86345,7281
2014-04-17 04:00:00,0.86342,0.86371,0.86102,0.86309,6911
2014-04-17 08:00:00,0.86313,0.86334,0.8617,0.8622,7486
2014-04-17 12:00:00,0.8622,0.86231,0.8586,0.8601,8978
2014-04-17 16:00:00,0.86006,0.86006,0.85703,0.85723,9060
2014-04-17 20:00:00,0.85723,0.85744,0.85618,0.85709,3561
2014-04-18 00:00:00,0.8571,0.85839,0.85655,0.85754,6616
2014-04-18 04:00:00,0.85754,0.85813,0.85719,0.85769,6608
2014-04-18 08:00:00,0.85769,0.85872,0.85753,0.85837,2738
2014-04-18 12:00:00,0.85831,0.85919,0.85739,0.85839,2095
2014-04-18 16:00:00,0.85836,0.85876,0.8569,0.85749,2260
2014-04-18 20:00:00,0.85749,0.85768,0.8566,0.85754,1836
2014-04-21 00:00:00,0.85698,0.86014,0.85573,0.85598,5929
2014-04-21 04:00:00,0.85597,0.85784,0.85594,0.85767,4174
2014-04-21 08:00:00,0.85768,0.85869,0.85718,0.85734,3691
2014-04-21 12:00:00,0.85734,0.85765,0.85609,0.85707,4646
2014-04-21 16:00:00,0.85707,0.85826,0.85566,0.8557,4485
2014-04-21 20:00:00,0.8557,0.85821,0.85549,0.85698,3443
2014-04-22 00:00:00,0.85703,0.85874,0.85664,0.85768,7236
2014-04-22 04:00:00,0.8577,0.85864,0.85761,0.85864,6358
2014-04-22 08:00:00,0.85865,0.85967,0.85803,0.85897,9086
2014-04-22 12:00:00,0.85896,0.86157,0.85869,0.8605,7642
2014-04-22 16:00:00,0.86053,0.862,0.85921,0.85985,8694
2014-04-22 20:00:00,0.85985,0.86135,0.85957,0.86065,4377
2014-04-23 00:00:00,0.86066,0.86197,0.85928,0.86051,8345
2014-04-23 04:00:00,0.8605,0.86079,0.85878,0.85942,8998
2014-04-23 08:00:00,0.85943,0.86074,0.85856,0.85914,8818
2014-04-23 12:00:00,0.85914,0.8594,0.85651,0.85685,7992
2014-04-23 16:00:00,0.85685,0.85898,0.8568,0.85833,8201
2014-04-23 20:00:00,0.85833,0.86234,0.8577,0.86193,6078
2014-04-24 00:00:00,0.86193,0.86364,0.86047,0.86326,7150
2014-04-24 04:00:00,0.86321,0.86339,0.86175,0.86199,6610
2014-04-24 08:00:00,0.86198,0.86212,0.85813,0.85825,8884
2014-04-24 12:00:00,0.85826,0.85827,0.85459,0.85632,11805
2014-04-24 16:00:00,0.85632,0.85715,0.85513,0.85621,8765
2014-04-24 20:00:00,0.85621,0.85706,0.85606,0.85656,3535
2014-04-25 00:00:00,0.85652,0.85706,0.85518,0.85606,6120
2014-04-25 04:00:00,0.85607,0.85734,0.85602,0.85688,5067
2014-04-25 08:00:00,0.85688,0.85839,0.85608,0.85765,8091
2014-04-25 12:00:00,0.85765,0.85929,0.85752,0.85843,8088
2014-04-25 16:00:00,0.85845,0.85922,0.85718,0.85809,7691
2014-04-25 20:00:00,0.85809,0.85831,0.857,0.85755,2892
2014-04-28 00:00:00,0.85778,0.85868,0.85735,0.8578,5041
2014-04-28 04:00:00,0.8578,0.85814,0.85715,0.85751,5979
2014-04-28 08:00:00,0.85751,0.85853,0.85552,0.85619,9810
2014-04-28 12:00:00,0.85619,0.85624,0.85328,0.85347,8977
2014-04-28 16:00:00,0.85347,0.85387,0.85246,0.85302,10693
2014-04-28 20:00:00,0.85303,0.85409,0.85275,0.85372,5107
2014-04-29 00:00:00,0.85371,0.85439,0.85193,0.85257,7464
2014-04-29 04:00:00,0.85256,0.85332,0.85229,0.85293,6198
2014-04-29 08:00:00,0.85291,0.85323,0.85161,0.85282,8658
2014-04-29 12:00:00,0.85282,0.85499,0.85278,0.85475,10048
2014-04-29 16:00:00,0.85479,0.85565,0.85373,0.8554,9876
2014-04-29 20:00:00,0.8554,0.85556,0.85449,0.85485,3976
2014-04-30 00:00:00,0.85487,0.85716,0.85455,0.85565,6179
2014-04-30 04:00:00,0.85565,0.85687,0.85545,0.85613,5963
2014-04-30 08:00:00,0.85612,0.85674,0.85477,0.85584,8362
