event_id,ts,ts_unix,event_type,strategy_id,symbol,ticket,side,open_time,close_time,duration_seconds,entry_price,exit_price,original_sl,final_sl,take_profit,volume,pnl,commission,swap,net,close_reason,mfe,mae
d9b104f26c4740c0a981864885e0bed4,2026-04-27 07:47:59.490937+00:00,1777276079.490937,position_close,eurusd_london_orb_15m,EURUSD,434626965,long,2026-04-27 07:15:05.281954+00:00,2026-04-27 10:47:36+00:00,12750,1.1734,1.17338,1.1715324565294978,1.1734107608824964,1.1780688586762555,213464.81690881003,-10.65,-10.66,0.0,-21.310000000000002,trail_stop,0.00024000000000001798,-0.0017300000000000093
2e3e4e1ddff64f01a5c357857cbe7835,2026-04-27 08:00:42.119645+00:00,1777276842.119645,position_close,eurgbp_london_orb_15m,EURGBP,434657192,long,2026-04-27 08:00:07.927771+00:00,2026-04-27 11:00:18+00:00,10810,0.86702,0.86692,0.86586811963505,0.8669441595133999,0.8698997009123752,346027.905439016,-38.07,-12.78,0.0,-50.85,trail_stop,2.0000000000020002e-05,-0.0010799999999999699
ea3b97fbf74a429f86b6b1a365ec5184,2026-04-27 08:08:26.064545+00:00,1777277306.064545,position_close,usdchf_london_orb_15m,USDCHF,434626986,short,2026-04-27 07:15:05.281954+00:00,2026-04-27 11:07:57+00:00,13971,0.78473,0.78451,0.7857707202062781,0.7844942936083709,0.7821281994843048,383043.87442005257,76.63,-15.03,0.0,61.599999999999994,trail_stop,0.0003700000000000925,-0.0009399999999999409
caa50960734d4d8bba4558c7d0fedcdc,2026-04-27 08:30:59.791526+00:00,1777278659.791526,position_close,xauusd_london_orb_15m,XAUUSD,434626948,long,2026-04-27 07:15:05.281954+00:00,2026-04-27 11:30:44+00:00,15338,4716.95,4706.72,4707.033403480789,4707.033403480789,4741.741491298026,40.2011036979991,-431.89,-2.64,0.0,-434.53,stop_loss,12.860000000000582,-8.460000000000036
a4780cf560c7425d89aeffc7a55c09ff,2026-04-27 09:02:18.929558+00:00,1777280538.929558,position_close,usdjpy_asian_orb_1h,USDJPY,434708052,short,2026-04-27 09:00:05.769835+00:00,2026-04-27 12:01:53+00:00,10907,159.148,159.142,159.61035137612538,159.13770275225076,157.99212155968655,1031.8007139890713,-14.45,-8.22,0.0,-22.67,trail_stop,0.03899999999998727,-0.1529999999999916
e88c071bae05414191a6bc50977fe67f,2026-04-27 10:01:26.178339+00:00,1777284086.178339,position_close,gbpjpy_london_orb_15m,GBPJPY,434750522,long,2026-04-27 10:00:18.297922+00:00,2026-04-27 13:00:55+00:00,10836,215.748,215.755,215.52742033013706,215.75656044018277,216.2994491746573,1802.0188589773725,10.81,-14.36,0.0,-3.549999999999999,trail_stop,0.04400000000001114,-0.23199999999999932
f695ad5cdc224977b9b64d89c9686913,2026-04-27 15:04:12.928907+00:00,1777302252.928907,position_close,usdcad_ny_orb_15m,USDCAD,435093201,long,2026-04-27 15:00:17.378626+00:00,2026-04-27 18:03:59+00:00,11021,1.3614600000000001,1.36186,1.3595151165879102,1.3618934887838805,1.366322208530225,204371.60784506347,47.07,-13.94,0.0,33.13,trail_stop,0.0007199999999998319,-0.0017300000000002314
e326020f15d34a9eb7a4d55ff974fd67,2026-04-27 15:30:02.699555+00:00,1777303802.699555,position_close,xauusd_ny_orb_15m,XAUUSD,435093162,short,2026-04-27 15:00:17.378626+00:00,2026-04-27 18:29:55+00:00,12577,4677.98,4681.1,4715.070297568311,4680.770495947185,4585.254256079222,10.716545189963508,-30.69,-0.72,0.0,-31.41,trail_stop,10.9399999999996,-34.48000000000047
ec685e9e1da648b395afada547a96994,2026-04-28 06:04:47.007195+00:00,1777356287.007195,position_close,nzdusd_asian_orb_1h,NZDUSD,435578695,short,2026-04-28 06:00:08.183273+00:00,2026-04-28 09:04:12+00:00,11043,0.58935,0.58938,0.5918290802835471,0.5893581605670941,0.5831522992911324,192396.54849642926,-36.52,-9.620000000000001,0.0,-46.14,trail_stop,0.0001500000000000945,-0.0008899999999999464
242188cd54554898a5ab69c5938b7188,2026-04-28 06:06:30.794540+00:00,1777356390.79454,position_close,gbpusd_asian_orb_1h,GBPUSD,435578669,short,2026-04-28 06:00:08.183273+00:00,2026-04-28 09:06:29+00:00,11180,1.3517299999999999,1.35196,1.3541999251830221,1.3519198503660443,1.3455551870424443,193115.55802526657,-83.01,-9.66,0.0,-92.67,trail_stop,2.9999999999752447e-05,-0.0018800000000001038
