rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,0.8,24,0.02,0.2,22,0.2,2,43,46.51,2.221,0.082,0.069,1.21,4.79,43.55,20.64,11.14,67.44,0.0661,1.762,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be08_h24_buf002_body02_adx22_spr02_slp2.csv,APROBADO,262.1
1.5,0.8,24,0.01,0.15,22,0.15,2,44,45.45,2.221,0.084,0.073,1.21,4.79,43.55,20.64,10.88,65.91,0.0661,1.737,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be08_h24_buf001_body015_adx22_spr015_slp2.csv,APROBADO,262.08
1.5,0.8,24,0.01,0.2,22,0.15,2,44,45.45,2.221,0.084,0.073,1.21,4.79,43.55,20.64,10.88,65.91,0.0661,1.737,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be08_h24_buf001_body02_adx22_spr015_slp2.csv,APROBADO,262.08
1.5,0.8,24,0.02,0.15,22,0.15,2,44,45.45,2.221,0.084,0.073,1.21,4.79,43.55,20.64,10.88,65.91,0.0661,1.737,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be08_h24_buf002_body015_adx22_spr015_slp2.csv,APROBADO,262.08
1.5,0.8,24,0.02,0.2,22,0.15,2,44,45.45,2.221,0.084,0.073,1.21,4.79,43.55,20.64,10.88,65.91,0.0661,1.737,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be08_h24_buf002_body02_adx22_spr015_slp2.csv,APROBADO,262.08
1.5,0.7,24,0.01,0.15,22,0.15,2,44,43.18,2.218,0.084,0.073,1.21,4.77,45.77,20.64,10.85,63.64,0.0675,1.731,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be07_h24_buf001_body015_adx22_spr015_slp2.csv,RECHAZADO,261.66
1.5,0.7,24,0.01,0.15,22,0.2,2,43,44.19,2.218,0.082,0.069,1.21,4.77,45.77,20.64,11.1,65.12,0.0675,1.756,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be07_h24_buf001_body015_adx22_spr02_slp2.csv,RECHAZADO,261.66
1.5,0.7,24,0.01,0.2,22,0.15,2,44,43.18,2.218,0.084,0.073,1.21,4.77,45.77,20.64,10.85,63.64,0.0675,1.731,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be07_h24_buf001_body02_adx22_spr015_slp2.csv,RECHAZADO,261.66
1.5,0.7,24,0.01,0.2,22,0.2,2,43,44.19,2.218,0.082,0.069,1.21,4.77,45.77,20.64,11.1,65.12,0.0675,1.756,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be07_h24_buf001_body02_adx22_spr02_slp2.csv,RECHAZADO,261.66
1.5,0.7,24,0.02,0.15,22,0.15,2,44,43.18,2.218,0.084,0.073,1.21,4.77,45.77,20.64,10.85,63.64,0.0675,1.731,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2000_20260410_1200_rr15_be07_h24_buf002_body015_adx22_spr015_slp2.csv,RECHAZADO,261.66
