trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-11-12,9,SELL,2024-11-12 09:25:00,2024-11-12 10:55:00,2600.18,2600.57,2618.347874866859,2571.1114002130253,18.167874866859165,19,-1.0733231125224885,-0.0215,timeout,False,0.2741,0.349,0.2741,0.349,2618.07,2603.41,2.7787486685864997,44.81738056020801,9998.926676887477
2,2024-11-13,10,SELL,2024-11-13 10:15:00,2024-11-13 10:30:00,2601.75,2607.971884057548,2607.971884057548,2591.7949855079232,6.221884057547868,4,-49.994633384437385,-1.0,sl,False,0.1221,1.0608,0.1221,1.0608,2607.82,2603.51,1.5188405754754606,29.537447830275838,9948.932043503039
3,2024-11-14,9,SELL,2024-11-14 09:15:00,2024-11-14 10:45:00,2550.88,2556.32,2565.341877436427,2527.7409961017174,14.461877436426676,19,-18.712020812848866,-0.3762,timeout,False,0.0249,0.6126,0.0249,0.6126,2565.12,2551.81,2.2187743642678837,36.54677200144984,9930.22002269019
4,2024-11-26,9,SELL,2024-11-26 09:30:00,2024-11-26 11:00:00,2616.05,2614.77,2626.636161148267,2599.112142162773,10.58616114826691,19,6.003442348469412,0.1209,timeout,False,0.4969,0.2116,0.4969,0.2116,2626.44,2617.81,1.961611482668675,46.775482649526516,9936.223465038658
5,2024-12-13,9,SELL,2024-12-13 09:30:00,2024-12-13 11:00:00,2682.64,2672.33,2690.605047206248,2669.895924470003,7.965047206248073,19,64.30750582632355,1.2944,timeout,True,1.4677,0.2624,1.4677,0.2624,2690.44,2683.26,1.6504720624775036,28.88259070411759,10000.530970864982
6,2025-02-27,11,SELL,2025-02-27 11:40:00,2025-02-27 13:10:00,2888.13,2893.87,2898.7788031762843,2871.0919149179454,10.648803176284218,19,-26.952816585343708,-0.539,timeout,False,0.2169,0.6498,0.2169,0.6498,2898.42,2888.6,3.5880317628431397,36.871040863426174,9973.578154279638
7,2025-02-28,9,SELL,2025-02-28 09:20:00,2025-02-28 10:40:00,2861.67,2852.875048947504,2867.16684440781,2852.875048947504,5.496844407809931,17,79.7886252342371,1.6,tp,True,1.7264,0.0309,1.7264,0.0309,2866.98,2861.72,1.868444078101047,44.47876864990593,10053.366779513875
8,2025-04-04,13,SELL,2025-04-04 13:25:00,2025-04-04 13:30:00,3095.18,3109.1463779811534,3109.1463779811534,3072.833795230154,13.966377981153528,2,-50.26683389756938,-1.0,sl,False,0.0236,1.3955,0.0236,1.3955,3108.75,3096.05,3.963779811534532,26.365409968726713,10003.099945616306
9,2025-04-07,9,SELL,2025-04-07 09:30:00,2025-04-07 11:00:00,3018.61,3022.08,3045.0099236533315,2976.37012215467,26.39992365333137,19,-6.574025983386978,-0.1314,timeout,False,0.2004,0.4814,0.2004,0.4814,3044.44,3018.91,5.699236533313334,26.900582176831403,9996.525919632919
10,2025-04-23,9,SELL,2025-04-23 09:45:00,2025-04-23 11:15:00,3312.63,3310.13,3350.069272425284,3252.7271641195457,37.43927242528389,19,3.337580190554784,0.0668,timeout,False,0.5604,0.2102,0.5604,0.2102,3349.41,3315.86,6.592724252841525,39.27070472868572,9999.863499823474
11,2025-05-01,12,SELL,2025-05-01 12:55:00,2025-05-01 14:25:00,3220.48,3223.14,3239.026949285273,3190.8048811435633,18.546949285273058,19,-7.170892770664458,-0.1434,timeout,False,0.3774,0.3537,0.3774,0.3537,3238.73,3221.24,2.9694928527293754,31.790208734374293,9992.69260705281
12,2025-05-12,10,SELL,2025-05-12 10:05:00,2025-05-12 11:35:00,3254.47,3232.96,3284.084364456502,3207.087016869596,29.614364456502244,19,36.29029728012784,0.7263,timeout,True,1.2943,0.0588,1.2943,0.0588,3283.57,3268.49,5.143644565019927,38.52079973169524,10028.982904332937
13,2025-05-14,15,SELL,2025-05-14 15:00:00,2025-05-14 15:45:00,3220.09,3196.938853914477,3234.559466303452,3196.938853914477,14.469466303452009,10,80.23186323466318,1.6,tp,True,2.1252,0.161,2.1252,0.161,3234.25,3221.48,3.0946630345201793,26.835406982340004,10109.2147675676
14,2025-06-17,11,SELL,2025-06-17 11:10:00,2025-06-17 12:40:00,3385.19,3384.68,3396.501125051359,3367.092199917826,11.311125051358886,19,2.279039223795997,0.0451,timeout,False,0.8337,0.1945,0.8337,0.1945,3396.19,3386.96,3.1112505135878745,26.302795678666712,10111.493806791397
15,2025-06-20,9,SELL,2025-06-20 09:45:00,2025-06-20 11:15:00,3340.81,3349.75,3357.9173243051405,3313.4382811117753,17.107324305140537,19,-26.420483127671975,-0.5226,timeout,False,0.007,0.8464,0.007,0.8464,3357.62,3342.61,2.9732430514041384,26.371358672191327,10085.073323663726
16,2025-06-27,9,SELL,2025-06-27 09:40:00,2025-06-27 11:10:00,3287.47,3283.7,3301.2510695387,3265.4202887380793,13.781069538700194,19,13.794548501276234,0.2736,timeout,False,0.373,0.6052,0.373,0.6052,3300.9,3289.16,3.510695386999298,28.0559959152098,10098.867872165003
17,2025-07-07,10,SELL,2025-07-07 10:50:00,2025-07-07 12:20:00,3304.06,3309.03,3315.344088818725,3286.0054578900395,11.284088818725195,19,-22.239887566895696,-0.4404,timeout,False,0.3066,0.7701,0.3066,0.7701,3315.08,3305.11,2.6408881872531986,30.118165805681727,10076.627984598108
18,2025-07-09,9,SELL,2025-07-09 09:15:00,2025-07-09 10:45:00,3287.89,3293.92,3297.8895441933955,3271.890729290567,9.99954419339565,19,-30.38241822425258,-0.603,timeout,False,0.234,0.623,0.234,0.623,3297.65,3288.93,2.395441933953681,31.08777548321757,10046.245566373855
19,2025-07-24,9,SELL,2025-07-24 09:30:00,2025-07-24 11:00:00,3371.81,3367.36,3385.5208383965664,3349.8726585654936,13.710838396566487,19,16.30308500374317,0.3246,timeout,False,0.4391,0.415,0.4391,0.415,3385.27,3374.38,2.5083839656663525,43.73813637405093,10062.548651377598
20,2025-07-25,10,SELL,2025-07-25 10:40:00,2025-07-25 12:10:00,3353.75,3344.78,3363.6006121951755,3337.9890204877192,9.850612195175472,19,45.814950185056595,0.9106,timeout,True,1.0832,0.1665,1.0832,0.1665,3363.4,3355.25,2.0061219517539866,46.34384686164168,10108.363601562654
21,2025-07-28,11,SELL,2025-07-28 11:15:00,2025-07-28 12:45:00,3337.45,3337.04,3344.275748374145,3326.5288026013673,6.825748374145405,19,3.0358788879015095,0.0601,timeout,False,0.7618,0.4791,0.7618,0.4791,3344.05,3337.97,2.2574837414497004,40.52680374591721,10111.399480450556
22,2025-08-12,9,SELL,2025-08-12 09:15:00,2025-08-12 10:35:00,3348.42,3355.8530529059076,3355.8530529059076,3336.5271153505482,7.433052905907516,17,-50.55699740225278,-1.0,sl,False,0.8314,1.2969,0.8314,1.2969,3355.63,3348.48,2.2305290590738482,32.49277601040719,10060.842483048304
23,2025-10-22,11,SELL,2025-10-22 11:10:00,2025-10-22 11:20:00,4102.63,4102.63,4147.774576632308,4030.398677388308,45.14457663230769,3,0.0,0.0,breakeven,True,1.0311,0.2623,1.0311,0.2623,4146.84,4107.47,9.345766323079824,49.341777269600186,10060.842483048304
