trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-11-12,9,SELL,2024-11-12 09:25:00,2024-11-12 11:25:00,2600.18,2594.52,2618.347874866859,2572.928187699711,18.167874866859165,25,15.576945684287253,0.3115,timeout,False,0.5174,0.349,0.5174,0.349,2618.07,2603.41,2.7787486685864997,44.81738056020801,10015.576945684288
2,2024-11-14,9,SELL,2024-11-14 09:15:00,2024-11-14 11:15:00,2550.88,2551.88,2565.341877436427,2529.18718384536,14.461877436426676,25,-3.462751288590299,-0.0691,timeout,False,0.0249,0.6126,0.0249,0.6126,2565.12,2551.81,2.2187743642678837,36.54677200144984,10012.114194395697
3,2024-11-26,9,SELL,2024-11-26 09:30:00,2024-11-26 11:30:00,2616.05,2623.15,2626.636161148267,2600.1707582776,10.58616114826691,25,-33.57497103274601,-0.6707,timeout,False,0.4969,0.6896,0.4969,0.6896,2626.44,2617.81,1.961611482668675,46.775482649526516,9978.539223362952
4,2024-12-13,9,SELL,2024-12-13 09:30:00,2024-12-13 11:20:00,2682.64,2670.692429190628,2690.605047206248,2670.692429190628,7.965047206248073,23,74.8390441752207,1.5,tp,True,1.5003,0.2624,1.5003,0.2624,2690.44,2683.26,1.6504720624775036,28.88259070411759,10053.378267538172
5,2024-12-19,15,SELL,2024-12-19 15:10:00,2024-12-19 16:00:00,2603.01,2595.62,2614.3207559633747,2586.0438660549385,11.310755963374504,11,32.84239605101736,0.6534,timeout,False,0.7312,0.2166,0.7312,0.2166,2614.1,2603.23,2.207559633747606,22.227680633965385,10086.220663589189
6,2025-02-12,15,SELL,2025-02-12 15:10:00,2025-02-12 15:30:00,2882.61,2864.270264390989,2894.8364904060077,2864.270264390989,12.226490406007542,5,75.64665497691892,1.5,tp,False,1.5188,0.0098,1.5188,0.0098,2894.61,2883.46,2.264904060073746,35.778022726523155,10161.867318566108
7,2025-02-27,15,SELL,2025-02-27 15:30:00,2025-02-27 15:50:00,2889.38,2889.38,2898.68416216096,2875.42375675856,9.304162160960004,5,0.0,0.0,breakeven,True,0.8899,0.1569,0.8899,0.1569,2898.42,2888.6,2.6416216095999463,43.91166263923788,10161.867318566108
8,2025-02-28,9,SELL,2025-02-28 09:20:00,2025-02-28 10:40:00,2861.67,2853.424733388285,2867.16684440781,2853.424733388285,5.496844407809931,17,76.2140048892479,1.5,tp,True,1.7264,0.0309,1.7264,0.0309,2866.98,2861.72,1.868444078101047,44.47876864990593,10238.081323455355
9,2025-04-04,15,SELL,2025-04-04 15:15:00,2025-04-04 16:00:00,3092.87,3076.9,3109.501803903654,3067.9222941445187,16.631803903654145,10,49.153465157094956,0.9602,timeout,True,1.3853,0.677,1.3853,0.677,3108.75,3096.05,7.518039036539113,24.050591603137853,10287.23478861245
10,2025-04-07,9,SELL,2025-04-07 09:30:00,2025-04-07 11:30:00,3018.61,3023.55,3045.0099236533315,2979.0101145200033,26.39992365333137,25,-9.6248270493262,-0.1871,timeout,False,0.2004,0.4814,0.2004,0.4814,3044.44,3018.91,5.699236533313334,26.900582176831403,10277.609961563123
11,2025-04-23,9,SELL,2025-04-23 09:45:00,2025-04-23 11:45:00,3312.63,3317.65,3350.069272425284,3256.4710913620743,37.43927242528389,25,-6.890305108093386,-0.1341,timeout,False,0.5604,0.2102,0.5604,0.2102,3349.41,3315.86,6.592724252841525,39.27070472868572,10270.719656455029
12,2025-05-14,15,SELL,2025-05-14 15:00:00,2025-05-14 15:45:00,3220.09,3198.385800544822,3234.559466303452,3198.385800544822,14.469466303452009,10,77.03039742341352,1.5,tp,True,2.1252,0.161,2.1252,0.161,3234.25,3221.48,3.0946630345201793,26.835406982340004,10347.750053878442
13,2025-06-17,9,SELL,2025-06-17 09:35:00,2025-06-17 11:35:00,3386.83,3384.46,3396.4475876955007,3372.4036184567485,9.617587695500788,25,12.749645963282171,0.2464,timeout,False,0.5937,0.522,0.5937,0.522,3396.19,3386.96,2.575876955008528,24.535054889373512,10360.499699841725
14,2025-06-20,9,SELL,2025-06-20 09:45:00,2025-06-20 11:45:00,3340.81,3351.36,3357.9173243051405,3315.149013542289,17.107324305140537,25,-31.946337686626958,-0.6167,timeout,False,0.007,0.8464,0.007,0.8464,3357.62,3342.61,2.9732430514041384,26.371358672191327,10328.553362155099
15,2025-06-27,9,SELL,2025-06-27 09:40:00,2025-06-27 11:40:00,3287.47,3287.65,3301.2510695387,3266.7983956919497,13.781069538700194,25,-0.6745266033126317,-0.0131,timeout,False,0.4078,0.6052,0.4078,0.6052,3300.9,3289.16,3.510695386999298,28.0559959152098,10327.878835551786
16,2025-07-07,15,SELL,2025-07-07 15:30:00,2025-07-07 16:00:00,3302.47,3310.1,3315.4129692847223,3283.055546072916,12.942969284722494,7,-30.441900070131712,-0.5895,timeout,False,0.0286,0.7865,0.0286,0.7865,3315.08,3305.11,3.3296928472214375,37.75407646689033,10297.436935481655
