mode,session_start,session_end,adx_min,adx_max,rr_ratio,atr_sl_mult,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy
SELL_ONLY,8,14,30,42,1.2,1.4,29,48.28,1.115,0.896,22026.516,2.4,0.86,59.69,49.98,2.97
SELL_ONLY,8,14,28,42,1.4,1.4,33,45.45,1.1,0.776,29351.037,2.79,0.89,65.76,49.83,2.71
SELL_ONLY,8,14,30,38,1.6,1.0,22,40.91,1.1,0.79,18048.16,3.16,0.66,80.1,50.4,2.99
SELL_ONLY,8,14,28,38,1.6,1.4,26,42.31,1.079,0.632,13828.08,3.36,0.6,73.94,50.24,2.3
SELL_ONLY,8,14,32,40,1.2,1.4,19,47.37,1.074,0.608,13711.127,1.0,0.37,60.1,50.37,1.96
SELL_ONLY,8,14,30,42,1.4,1.4,29,44.83,1.063,0.513,13908.007,2.98,0.5,65.08,49.76,1.72
SELL_ONLY,8,14,32,38,1.6,1.2,15,40.0,1.06,0.498,13411.192,1.4,0.27,79.86,50.24,1.8
SELL_ONLY,8,14,32,38,1.6,1.0,15,40.0,1.06,0.499,12448.654,2.68,0.27,80.12,50.42,1.8
SELL_ONLY,8,14,28,40,1.6,1.0,30,40.0,1.059,0.498,11500.763,3.65,0.54,80.57,50.71,1.8
SELL_ONLY,8,14,32,38,1.6,1.4,15,40.0,1.059,0.498,14442.749,2.48,0.27,80.19,50.46,1.8
SELL_ONLY,8,14,32,38,1.2,1.4,15,46.67,1.044,0.386,8701.048,1.4,0.18,59.96,50.25,1.18
SELL_ONLY,8,14,32,40,1.4,1.4,19,42.11,1.012,0.141,2963.301,1.49,0.07,69.74,50.11,0.35
SELL_ONLY,8,14,32,40,1.4,1.2,19,42.11,1.012,0.141,3147.591,1.79,0.07,69.96,50.27,0.35
SELL_ONLY,8,14,30,38,1.6,1.4,22,40.91,1.001,0.055,1058.481,3.36,0.0,72.54,50.18,0.02
SELL_ONLY,8,14,32,42,1.2,1.0,22,45.45,0.995,-0.0,-0.851,2.77,-0.03,59.81,50.12,-0.15
SELL_ONLY,8,14,32,42,1.2,1.2,22,45.45,0.995,-0.0,-0.851,2.77,-0.03,59.81,50.12,-0.15
