trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2025-05-01,12,SELL,2025-05-01 12:55:00,2025-05-01 14:55:00,3220.48,3205.49,3239.0269480099787,3192.6595779850322,18.546948009978678,25,40.410961393581516,0.8082,timeout,False,0.9204,0.3537,0.9204,0.3537,3238.73,3221.24,2.9694800997880577,41.6768917783359,10040.410961393582
2,2025-05-12,10,SELL,2025-05-12 10:05:00,2025-05-12 12:05:00,3254.47,3227.23,3284.084364456502,3210.0484533152467,29.614364456502244,25,46.17704948388789,0.9198,timeout,True,1.2943,0.0588,1.2943,0.0588,3283.57,3268.49,5.143644565019927,38.52219759557069,10086.588010877469
3,2025-05-14,15,SELL,2025-05-14 15:00:00,2025-05-14 15:45:00,3220.09,3198.385800544822,3234.559466303452,3198.385800544822,14.469466303452009,10,75.6494100815818,1.5,tp,True,2.1252,0.161,2.1252,0.161,3234.25,3221.48,3.0946630345201793,26.835440858724848,10162.23742095905
