rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,0.8,24,0.02,0.3,24,0.15,2,39,43.59,2.058,0.078,0.067,1.21,3.77,43.11,20.95,9.66,64.1,0.0581,1.344,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,RECHAZADO,237.78
1.5,0.8,24,0.02,0.3,20,0.15,3,46,47.83,1.987,0.096,0.089,1.05,4.21,38.55,22.46,9.16,67.39,0.1069,1.23,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,236.9
1.5,0.8,24,0.02,0.3,20,0.2,3,45,48.89,1.987,0.094,0.085,1.05,4.21,38.55,22.46,9.36,68.89,0.1069,1.358,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,236.8
1.4,1.2,24,0.02,0.2,24,0.2,3,37,54.05,2.009,0.075,0.063,1.05,3.94,39.21,22.96,10.64,72.97,0.1252,1.355,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,236.75
1.4,1.2,24,0.02,0.2,24,0.15,3,38,52.63,2.005,0.077,0.066,1.05,3.93,39.21,21.73,10.34,73.68,0.1201,1.354,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,236.22
1.4,1.2,24,0.02,0.25,24,0.2,3,37,54.05,1.993,0.075,0.063,1.05,3.88,38.9,22.96,10.48,72.97,0.1208,1.33,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,234.65
1.4,1.2,24,0.02,0.3,24,0.2,3,37,54.05,1.993,0.075,0.063,1.05,3.88,38.9,22.96,10.48,72.97,0.1208,1.33,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,234.65
1.5,1.2,24,0.02,0.2,24,0.2,2,38,52.63,1.998,0.08,0.067,1.21,4.07,40.77,22.67,10.72,73.68,0.1087,1.308,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,234.3
1.4,1.2,24,0.02,0.25,24,0.15,3,38,52.63,1.989,0.077,0.066,1.05,3.87,38.9,21.73,10.18,73.68,0.1159,1.329,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,234.12
1.4,1.2,24,0.02,0.3,24,0.15,3,38,52.63,1.989,0.077,0.066,1.05,3.87,38.9,21.73,10.18,73.68,0.1159,1.329,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,234.12
