trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-12-19,15,SELL,2024-12-19 15:10:00,2024-12-19 16:00:00,2603.01,2595.62,2614.3207559633747,2586.0438660549385,11.310755963374504,11,32.66801982082354,0.6534,timeout,False,0.7312,0.2166,0.7312,0.2166,2614.1,2603.23,2.207559633747606,22.227680633965385,10032.668019820823
2,2025-02-12,15,SELL,2025-02-12 15:10:00,2025-02-12 15:30:00,2882.61,2864.270264390989,2894.8364904060077,2864.270264390989,12.226490406007542,5,75.24501014865618,1.5,tp,False,1.5188,0.0098,1.5188,0.0098,2894.61,2883.46,2.264904060073746,35.778022726523155,10107.913029969479
3,2025-02-27,15,SELL,2025-02-27 15:30:00,2025-02-27 15:50:00,2889.38,2889.38,2898.68416216096,2875.42375675856,9.304162160960004,5,0.0,0.0,breakeven,True,0.8899,0.1569,0.8899,0.1569,2898.42,2888.6,2.6416216095999463,43.91166263923788,10107.913029969479
4,2025-04-04,15,SELL,2025-04-04 15:15:00,2025-04-04 16:00:00,3092.87,3076.9,3109.501803903654,3067.9222941445187,16.631803903654145,10,48.52852162751405,0.9602,timeout,True,1.3853,0.677,1.3853,0.677,3108.75,3096.05,7.518039036539113,24.050591603137853,10156.441551596992
5,2025-05-14,15,SELL,2025-05-14 15:00:00,2025-05-14 15:45:00,3220.09,3198.385800544822,3234.559466303452,3198.385800544822,14.469466303452009,10,76.17331163697824,1.5,tp,True,2.1252,0.161,2.1252,0.161,3234.25,3221.48,3.0946630345201793,26.835406982340004,10232.61486323397
6,2025-06-17,15,SELL,2025-06-17 15:05:00,2025-06-17 16:00:00,3385.66,3388.61,3396.5045478911275,3369.393178163308,10.844547891127604,12,-13.917691244297817,-0.272,timeout,False,0.2102,0.5348,0.2102,0.5348,3396.19,3386.96,3.145478911271772,27.073605722706443,10218.697171989672
7,2025-07-07,15,SELL,2025-07-07 15:30:00,2025-07-07 16:00:00,3302.47,3310.1,3315.4129692847223,3283.055546072916,12.942969284722494,7,-30.12008207201506,-0.5895,timeout,False,0.0286,0.7865,0.0286,0.7865,3315.08,3305.11,3.3296928472214375,37.75407646689033,10188.577089917657
8,2025-08-12,15,SELL,2025-08-12 15:40:00,2025-08-12 15:45:00,3348.08,3356.004309192845,3356.004309192845,3336.1935362107324,7.924309192845158,2,-50.94288544958829,-1.0,sl,False,0.3104,1.2506,0.3104,1.2506,3355.63,3348.48,3.74309192845134,31.80084423118492,10137.634204468068
9,2026-02-05,15,SELL,2026-02-05 15:05:00,2026-02-05 16:00:00,4822.57,4825.63,4935.79711245591,4652.729331316134,113.22711245591017,12,-1.3698645135791025,-0.027,timeout,False,0.1826,0.3999,0.1826,0.3999,4933.94,4826.62,18.571124559106803,35.344057047216396,10136.264339954489
10,2026-03-06,15,SELL,2026-03-06 15:55:00,2026-03-06 16:00:00,5101.88,5101.88,5130.971307026552,5058.243039460172,29.091307026551476,2,0.0,0.0,breakeven,True,0.9673,0.021,0.9673,0.021,5129.82,5108.97,11.513070265519302,28.018389121923033,10136.264339954489
11,2026-03-17,15,SELL,2026-03-17 15:40:00,2026-03-17 16:00:00,5017.13,5016.87,5044.6945935899785,4975.783109615033,27.564593589978358,5,0.4780459976287372,0.0094,timeout,False,0.2775,0.0352,0.2775,0.0352,5044.21,5019.95,4.845935899780674,22.207016115775197,10136.742385952117
12,2026-03-20,15,SELL,2026-03-20 15:15:00,2026-03-20 16:00:00,4685.25,4670.28,4728.429067766844,4620.481398349733,43.17906776684413,10,17.571828361036044,0.3467,timeout,False,0.5445,0.1533,0.5445,0.1533,4727.42,4685.55,10.090677668443725,31.368476573358354,10154.314214313154
