signal_time,entry_time,exit_time,entry_date,exit_date,side,entry,exit,sl,tp,atr,adx,asia_high,asia_low,asia_range,ema_fast,ema_slow,signal_hour,entry_hour,weekday,month,body_ratio,risk_amt,risk_per_unit,pnl,pnl_r,won,exit_reason,bars_held,balance_after
2025-09-30 11:30:00,2025-09-30 11:35:00,2025-09-30 13:35:00,2025-09-30,2025-09-30,SELL,173.8215,173.7435,174.11707,173.4077,0.08071,25.1615,174.413,174.109,0.304,173.81525,174.02271,11,11,1,9,0.4658,48.72,0.29557,12.86,0.2639,True,timeout,25,9757.42
2025-10-10 09:55:00,2025-10-10 10:00:00,2025-10-10 10:00:00,2025-10-10,2025-10-10,SELL,176.4885,176.66743,176.66743,176.238,0.12429,38.2202,177.149,176.655,0.494,176.72496,176.85551,9,10,4,10,0.7059,48.79,0.17893,-48.79,-1.0,False,sl,1,9708.63
2025-10-14 11:00:00,2025-10-14 11:05:00,2025-10-14 13:05:00,2025-10-14,2025-10-14,SELL,175.6205,175.6825,175.98876,175.10493,0.11764,25.6147,176.446,175.977,0.469,175.63325,175.94532,11,11,1,10,0.6927,48.54,0.36826,-8.17,-0.1684,False,timeout,25,9700.46
2025-10-17 10:00:00,2025-10-17 10:05:00,2025-10-17 12:05:00,2025-10-17,2025-10-17,SELL,175.0505,175.2705,175.53434,174.37312,0.11343,26.5379,175.967,175.523,0.444,175.47999,175.66499,10,10,4,10,0.5673,48.5,0.48384,-22.05,-0.4547,False,timeout,25,9678.41
2025-11-13 10:40:00,2025-11-13 10:45:00,2025-11-13 10:50:00,2025-11-13,2025-11-13,BUY,179.5165,179.65114,179.42033,179.65114,0.08014,44.4055,179.495,179.216,0.279,179.59332,179.45654,10,10,3,11,0.5543,48.39,0.09617,67.75,1.4,True,tp,2,9746.16
2025-11-21 11:05:00,2025-11-21 11:10:00,2025-11-21 12:00:00,2025-11-21,2025-11-21,SELL,180.9945,180.60032,181.27606,180.60032,0.14057,45.4446,181.65,181.262,0.388,181.06171,181.30969,11,11,4,11,0.4306,48.73,0.28156,68.22,1.4,True,tp,11,9814.38
2026-01-27 11:55:00,2026-01-27 12:00:00,2026-01-27 12:00:00,2026-01-27,2026-01-27,SELL,182.7775,182.99316,182.99316,182.47557,0.16164,27.9224,183.582,182.977,0.605,183.3255,183.39638,11,12,1,1,0.8268,49.07,0.21566,-49.07,-1.0,False,sl,1,9765.31
2026-02-20 10:40:00,2026-02-20 10:45:00,2026-02-20 12:45:00,2026-02-20,2026-02-20,BUY,182.9065,182.7265,182.67192,183.23491,0.10079,36.5809,182.682,182.283,0.399,182.58846,182.47983,10,10,4,2,0.8199,48.83,0.23458,-37.47,-0.7673,False,timeout,25,9727.84
2026-03-03 10:10:00,2026-03-03 10:15:00,2026-03-03 12:15:00,2026-03-03,2026-03-03,SELL,183.1375,183.0145,183.80459,182.20357,0.13593,37.4674,184.326,183.791,0.535,183.37941,183.70381,10,10,1,3,0.6419,48.64,0.66709,8.97,0.1844,True,timeout,25,9736.81
2026-03-19 10:20:00,2026-03-19 10:25:00,2026-03-19 10:55:00,2026-03-19,2026-03-19,SELL,182.7675,182.48557,182.96888,182.48557,0.11879,38.9614,183.426,182.957,0.469,183.03267,183.17623,10,10,3,3,0.7358,48.68,0.20138,68.16,1.4,True,tp,7,9804.97
