trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-11-04,10,SELL,2024-11-04 10:05:00,2024-11-04 11:50:00,2735.18,2743.8045387735824,2743.8045387735824,2722.243191839626,8.624538773582572,22,-50.0,-1.0,sl,False,0.3896,1.0227,0.3896,1.0227,2743.65,2735.7,1.545387735824254,22.75031883492533,9950.0
2,2024-11-08,10,SELL,2024-11-08 10:05:00,2024-11-08 12:05:00,2685.22,2686.27,2696.430945226048,2668.4035821609273,11.210945226048352,25,-4.659508984009352,-0.0937,timeout,False,0.2979,0.5807,0.2979,0.5807,2696.23,2685.94,2.009452260479661,25.09693058957293,9945.34049101599
3,2024-11-12,9,SELL,2024-11-12 09:25:00,2024-11-12 11:25:00,2600.18,2594.52,2618.347874866859,2572.928187699711,18.167874866859165,25,15.491802864029879,0.3115,timeout,False,0.5174,0.349,0.5174,0.349,2618.07,2603.41,2.7787486685864997,44.796238112066106,9960.83229388002
4,2024-11-13,10,SELL,2024-11-13 10:15:00,2024-11-13 10:30:00,2601.75,2607.971884057548,2607.971884057548,2592.417173913678,6.221884057547868,4,-49.8041614694001,-1.0,sl,False,0.1221,1.0608,0.1221,1.0608,2607.82,2603.51,1.5188405754754606,29.533233301673427,9911.02813241062
5,2024-11-14,9,SELL,2024-11-14 09:15:00,2024-11-14 11:15:00,2550.88,2551.88,2565.341877436427,2529.18718384536,14.461877436426676,25,-3.4266049397731217,-0.0691,timeout,False,0.0249,0.6126,0.0249,0.6126,2565.12,2551.81,2.2187743642678837,36.54586343925001,9907.601527470846
6,2024-11-26,9,SELL,2024-11-26 09:30:00,2024-11-26 11:30:00,2616.05,2623.15,2626.636161148267,2600.1707582776,10.58616114826691,25,-33.22449463021745,-0.6707,timeout,False,0.4969,0.6896,0.4969,0.6896,2626.44,2617.81,1.961611482668675,46.77548264788843,9874.377032840628
